Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
12:48:35:08.840,61,0.0000000000,0.0000000000,0.1189534292,0.0000000000,0.0304921716,0.2649132609,0.4990215898,0.0000000000,0.0000000000,0.0089545259,0.0000000000,0.0305251535,0.2649227381,0.4997182190,0.0279640909,0.0124883540,0.0000000000,0.0616168231,0.0649460852,0.0538366213,0.2442997098,0.0000000000,0.0066453000,0.0564156808,0.0717270151,0.0000000000,0.0000000000,0.0808689967,0.0875434577,0.1785913259,0.1835157871,0.2008752823,0.0429900661,0.3091634214,0.1797091961,0.0830252916,0.0891613588,0.1551686376,0.1541493088,0.0174441542,0.0201799106,0.7611666918,0.7610278130,0.1568316668,0.0000000000,0.0000000000,0.0896288380,0.0910004452,0.1195519343,0.1175002083,0.1223422587,0.0000011253,0.1135988161,0.1472077072,-0.0381542481,-0.0054695234,-0.0133193089,0.0000728542,0.0726580769,-0.0133399181,-0.0009684573
12:48:35:09.841,61,0.0000000000,0.0000000000,0.1178187057,0.0000000000,0.0308600105,0.2650990486,0.4984821677,0.0000000000,0.0000000000,0.0100777596,0.0000000000,0.0308922343,0.2651087940,0.4991911948,0.0279477481,0.0126015246,0.0000000000,0.0615002476,0.0648318082,0.0536519513,0.2438991964,0.0000000000,0.0064973794,0.0567043945,0.0718746707,0.0000000000,0.0000000000,0.0809020028,0.0875665545,0.1783267111,0.1832560599,0.2007740289,0.0429657958,0.3085997701,0.1794771999,0.0828230232,0.0889338702,0.1550629586,0.1540071368,0.0173886605,0.0201227106,0.7613168359,0.7611765862,0.1565649509,0.0000000000,0.0000000000,0.0893502831,0.0908990130,0.1194030121,0.1174248308,0.1222810820,0.0000010101,0.1149754748,0.1467317045,-0.0380220450,-0.0061555947,-0.0134795345,0.0000829790,0.0719648302,-0.0135001643,-0.0009707573
12:48:35:10.842,61,0.0000000000,0.0000000000,0.1171819344,0.0000000000,0.0305790547,0.2651849985,0.4977617562,0.0000000000,0.0000000000,0.0107319197,0.0000000000,0.0306097008,0.2651951909,0.4984858632,0.0279487409,0.0127097927,0.0000000000,0.0613660775,0.0646583810,0.0533981994,0.2436879426,0.0000000000,0.0063438481,0.0569663122,0.0719518363,0.0000000000,0.0000000000,0.0809891671,0.0876605287,0.1779812127,0.1829184443,0.2008861005,0.0429953635,0.3082776070,0.1794093251,0.0827806592,0.0888856575,0.1548696905,0.1537982374,0.0173215270,0.0200505443,0.7614339590,0.7612921596,0.1559956819,0.0000000000,0.0000000000,0.0891361982,0.0907422379,0.1191765144,0.1172935516,0.1221398786,0.0000008468,0.1154985875,0.1463601142,-0.0375791006,-0.0065551731,-0.0133562880,0.0000875574,0.0715760067,-0.0133768814,-0.0009567032
12:48:35:11.842,61,0.0000000000,0.0000000000,0.1167097166,0.0000000000,0.0314126499,0.2656797469,0.4954034388,0.0000000000,0.0000000000,0.0111917667,0.0000000000,0.0314445756,0.2656901777,0.4961470664,0.0279567335,0.0128046414,0.0000000000,0.0612446293,0.0644684359,0.0531586930,0.2438386232,0.0000000000,0.0061959885,0.0572748706,0.0720679909,0.0000000000,0.0000000000,0.0811233968,0.0878013000,0.1775225550,0.1824314892,0.2010895759,0.0430696309,0.3082536459,0.1795397103,0.0829399452,0.0890467018,0.1545600444,0.1535227746,0.0172419287,0.0199598912,0.7614619732,0.7613183856,0.1554692239,0.0000000000,0.0000000000,0.0890870839,0.0906555951,0.1189986765,0.1170609891,0.1218430176,0.0000007789,0.1144737750,0.1457490474,-0.0371629819,-0.0068360185,-0.0137206046,0.0000937995,0.0712872073,-0.0137412576,-0.0009788077
12:48:35:12.843,61,0.0000000000,0.0000000000,0.1171597466,0.0000000000,0.0304724798,0.2660011947,0.4937712848,0.0000000000,0.0000000000,0.0107913958,0.0000000000,0.0305028167,0.2660115361,0.4945394695,0.0279322211,0.0128954565,0.0000000000,0.0611406863,0.0643245131,0.0529759936,0.2442172319,0.0000000000,0.0060474635,0.0573822185,0.0720019341,0.0000000000,0.0000000000,0.0812124982,0.0878939629,0.1770799011,0.1819753647,0.2011268139,0.0431288779,0.3080256879,0.1794977337,0.0829976052,0.0890992284,0.1543179303,0.1533015519,0.0171686132,0.0198735651,0.7616811395,0.7615357637,0.1550510228,0.0000000000,0.0000000000,0.0891063586,0.0905941576,0.1188559756,0.1168594807,0.1215871200,0.0000008185,0.1127699316,0.1456188560,-0.0367155448,-0.0065915054,-0.0133096538,0.0000877352,0.0715624839,-0.0133302482,-0.0009531879
12:48:35:13.843,61,0.0000000000,0.0000000000,0.1192385629,0.0000000000,0.0280340128,0.2648964524,0.4926817715,0.0000000000,0.0000000000,0.0087939715,0.0000000000,0.0280612838,0.2649073899,0.4934656322,0.0279331021,0.0129818460,0.0000000000,0.0611698069,0.0643375367,0.0529024415,0.2443128228,0.0000000000,0.0059012417,0.0576726012,0.0720840171,0.0000000000,0.0000000000,0.0814467296,0.0881263912,0.1769853234,0.1818620414,0.2013669610,0.0432598405,0.3074829578,0.1791410148,0.0829463676,0.0890437290,0.1544667184,0.1534364969,0.0171026252,0.0197984036,0.7616038918,0.7614563107,0.1551315933,0.0000000000,0.0000000000,0.0891284347,0.0904975310,0.1186802387,0.1167475656,0.1214503348,0.0000007253,0.1116267815,0.1455152333,-0.0364811160,-0.0053715287,-0.0122442208,0.0000657732,0.0728332475,-0.0122646624,-0.0008925301
12:48:35:14.844,61,0.0000000000,0.0000000000,0.1194724739,0.0000000000,0.0260866079,0.2635472119,0.4919394553,0.0000000000,0.0000000000,0.0086261975,0.0000000000,0.0261093099,0.2635585964,0.4927353561,0.0280402433,0.0130917206,0.0000000000,0.0614133961,0.0645126626,0.0528629348,0.2442921251,0.0000000000,0.0058659515,0.0580192916,0.0723237917,0.0000000000,0.0000000000,0.0818814710,0.0885703862,0.1772109121,0.1820067763,0.2049885243,0.0436044931,0.3069030344,0.1786065847,0.0830169395,0.0891524926,0.1549040824,0.1538706124,0.0170171410,0.0197081175,0.7613548040,0.7612059116,0.1550468057,0.0000000000,0.0000000000,0.0892619416,0.0904313549,0.1185683161,0.1166632995,0.1213286445,0.0000005965,0.1112452894,0.1453679204,-0.0372248329,-0.0052691028,-0.0113924947,0.0000600305,0.0729768500,-0.0114128077,-0.0008321676
12:48:35:15.845,61,0.0000000000,0.0000000000,0.1202830002,0.0000000000,0.0261185933,0.2627559900,0.4916071594,0.0000000000,0.0000000000,0.0078426404,0.0000000000,0.0261423774,0.2627674341,0.4924105704,0.0281299148,0.0131984362,0.0000000000,0.0616585314,0.0646987557,0.0527884401,0.2439197004,0.0000000000,0.0059197936,0.0583892614,0.0727243572,0.0000000000,0.0000000000,0.0823368356,0.0890442282,0.1776505709,0.1823633462,0.2063825727,0.0439212136,0.3055093884,0.1778722256,0.0829504058,0.0891211927,0.1553233266,0.1543271244,0.0169225466,0.0196139999,0.7604876757,0.7603357434,0.1553216428,0.0000000000,0.0000000000,0.0892424136,0.0903743804,0.1184560582,0.1164865494,0.1211167276,0.0000004671,0.1118294820,0.1447434276,-0.0374663174,-0.0047904849,-0.0114068957,0.0000546467,0.0734719336,-0.0114272181,-0.0008388610
12:48:35:16.845,61,0.0000000000,0.0000000000,0.1206108034,0.0000000000,0.0269048382,0.2623545527,0.4914717972,0.0000000000,0.0000000000,0.0075163399,0.0000000000,0.0269310307,0.2623657584,0.4922800064,0.0282123275,0.0132889869,0.0000000000,0.0618313178,0.0648063943,0.0526989289,0.2434685826,0.0000000000,0.0059477617,0.0584938265,0.0728710666,0.0000000000,0.0000000000,0.0826882347,0.0894005895,0.1779715568,0.1825982034,0.2072867155,0.0442033932,0.3047374189,0.1773245484,0.0829328299,0.0891365558,0.1555268168,0.1545570791,0.0168323405,0.0195193347,0.7598903775,0.7597373128,0.1554089785,0.0000000000,0.0000000000,0.0892650038,0.0903160796,0.1183429360,0.1163089648,0.1208960861,0.0000003353,0.1120660529,0.1445584893,-0.0380623080,-0.0045911539,-0.0117510017,0.0000539530,0.0736718625,-0.0117713809,-0.0008664751
12:48:35:17.846,61,0.0000000000,0.0000000000,0.1222955063,0.0000000000,0.0301505513,0.2625489533,0.4915258586,0.0000000000,0.0000000000,0.0057915323,0.0000000000,0.0301874783,0.2625599205,0.4923396409,0.0282730330,0.0133544067,0.0000000000,0.0618228763,0.0647237375,0.0526090525,0.2432173491,0.0000000000,0.0058652582,0.0584425703,0.0727820992,0.0000000000,0.0000000000,0.0828798264,0.0895777717,0.1779809147,0.1825194657,0.2077686638,0.0443527102,0.3046291173,0.1772714704,0.0830871388,0.0893175602,0.1553238630,0.1543679982,0.0167559758,0.0194358733,0.7593244314,0.7591699362,0.1553787291,0.0000000000,0.0000000000,0.0894922540,0.0902933180,0.1182563975,0.1160565689,0.1205784529,0.0000003943,0.1117496490,0.1440753192,-0.0387503840,-0.0035375392,-0.0131718535,0.0000465985,0.0746996030,-0.0131924497,-0.0009846113
12:48:35:18.846,61,0.0000000000,0.0000000000,0.1237858981,0.0000000000,0.0316720903,0.2627919912,0.4912559688,0.0000000000,0.0000000000,0.0042513958,0.0000000000,0.0317152999,0.2628027499,0.4920759201,0.0282581802,0.0133784842,0.0000000000,0.0616046079,0.0644492656,0.0524891615,0.2432049811,0.0000000000,0.0057141976,0.0582419708,0.0724384412,0.0000000000,0.0000000000,0.0829426274,0.0896084458,0.1777560860,0.1822644621,0.2077256292,0.0443448834,0.3048825264,0.1775393337,0.0833392367,0.0895810574,0.1547148973,0.1536600292,0.0167023260,0.0193698797,0.7587743998,0.7586190701,0.1551010162,0.0000000000,0.0000000000,0.0898427963,0.0902168825,0.1181104779,0.1157678366,0.1202209964,0.0000006162,0.1115773469,0.1433705986,-0.0384988002,-0.0025967818,-0.0138384560,0.0000359377,0.0756092668,-0.0138591537,-0.0010469491
12:48:35:19.847,61,0.0000000000,0.0000000000,0.1242421344,0.0000000000,0.0318923965,0.2629215419,0.4908650815,0.0000000000,0.0000000000,0.0037707447,0.0000000000,0.0319369100,0.2629322410,0.4916939437,0.0282477308,0.0134053295,0.0000000000,0.0613121055,0.0640739799,0.0523440801,0.2433886826,0.0000000000,0.0054434505,0.0580004789,0.0719093233,0.0000000000,0.0000000000,0.0829886794,0.0896122381,0.1773601025,0.1818234921,0.2076812983,0.0443099923,0.3069661856,0.1786172986,0.0838047192,0.0900654122,0.1536209285,0.1523050666,0.0166672505,0.0193175543,0.7584536672,0.7582973838,0.1545019448,0.0000000000,0.0000000000,0.0903386697,0.0901175588,0.1179389879,0.1155183688,0.1199049130,0.0000008321,0.1116478667,0.1436293572,-0.0383169279,-0.0023031938,-0.0139351431,0.0000320974,0.0758878291,-0.0139558529,-0.0010581315
12:48:35:20.848,61,0.0000000000,0.0000000000,0.1254662275,0.0000000000,0.0313162804,0.2628380358,0.4904942513,0.0000000000,0.0000000000,0.0025481209,0.0000000000,0.0313610584,0.2628485262,0.4913271666,0.0282605179,0.0134024583,0.0000000000,0.0610045418,0.0636662543,0.0521609597,0.2437295616,0.0000000000,0.0051917746,0.0578314513,0.0714098513,0.0000000000,0.0000000000,0.0831072778,0.0896925777,0.1768938750,0.1813280582,0.2077634335,0.0443152674,0.3094500303,0.1799474061,0.0844618529,0.0908934101,0.1527950317,0.1513969004,0.0166339073,0.0192635395,0.7583635449,0.7582068443,0.1531490088,0.0000000000,0.0000000000,0.0909436345,0.0900068581,0.1177564636,0.1153069437,0.1196105555,0.0000010253,0.1124070659,0.1428444684,-0.0378676839,-0.0015564129,-0.0136838583,0.0000212991,0.0766357854,-0.0137045300,-0.0010492952
12:48:35:21.848,61,0.0000000000,0.0000000000,0.1263813823,0.0000000000,0.0284125824,0.2624319494,0.4900479019,0.0000000000,0.0000000000,0.0017214190,0.0000000000,0.0284504928,0.2624419630,0.4908820093,0.0282293782,0.0133490656,0.0000000000,0.0606528223,0.0632338077,0.0520032607,0.2446511388,0.0000000000,0.0049977247,0.0575716384,0.0708402768,0.0000000000,0.0000000000,0.0831436366,0.0897105113,0.1762600243,0.1807646900,0.2076684833,0.0442597233,0.3111169934,0.1810044348,0.0850367770,0.0915100276,0.1519583017,0.1505806744,0.0166074131,0.0192183834,0.7585654259,0.7584091425,0.1519176960,0.0000000000,0.0000000000,0.0916367173,0.0898809582,0.1175381020,0.1151366308,0.1193578765,0.0000012450,0.1130001321,0.1424720287,-0.0374103114,-0.0010514744,-0.0124138771,0.0000130535,0.0771960616,-0.0124343606,-0.0009589797
12:48:35:22.848,61,0.0000000000,0.0000000000,0.1255616695,0.0000000000,0.0235029925,0.2618322968,0.4897178710,0.0000000000,0.0000000000,0.0026974215,0.0000000000,0.0235260446,0.2618421614,0.4905544817,0.0282327216,0.0133490516,0.0000000000,0.0603828654,0.0628763735,0.0518474393,0.2453352064,0.0000000000,0.0048118955,0.0573815852,0.0703492239,0.0000000000,0.0000000000,0.0833051726,0.0898859128,0.1757860631,0.1803599745,0.2078704089,0.0443006903,0.3120684922,0.1816748232,0.0855709463,0.0920785666,0.1513729095,0.1500107050,0.0165689141,0.0191600956,0.7587246895,0.7585682273,0.1513172537,0.0000000000,0.0000000000,0.0923880935,0.0897563100,0.1173303947,0.1149584055,0.1191098019,0.0000015077,0.1127922162,0.1415007263,-0.0376027599,-0.0016476741,-0.0102651864,0.0000169143,0.0766972303,-0.0102853524,-0.0007881125
12:48:35:23.850,61,0.0000000000,0.0000000000,0.1238007024,0.0000000000,0.0169397946,0.2597822249,0.4897234738,0.0000000000,0.0000000000,0.0046437029,0.0000000000,0.0169430524,0.2597917914,0.4905632734,0.0282365102,0.0133916102,0.0000000000,0.0602341555,0.0626794323,0.0517569333,0.2459028512,0.0000000000,0.0047460413,0.0574230887,0.0702067614,0.0000000000,0.0000000000,0.0835314244,0.0901546031,0.1755013168,0.1801796556,0.2080927640,0.0444241017,0.3122291863,0.1817625463,0.0858991072,0.0924292356,0.1512713879,0.1499228328,0.0165268835,0.0191056374,0.7590220571,0.7588657737,0.1508344859,0.0000000000,0.0000000000,0.0930368528,0.0896055922,0.1171330512,0.1149688214,0.1190664619,0.0000014159,0.1116944402,0.1400549412,-0.0388345979,-0.0028365995,-0.0073928307,0.0000209709,0.0756234676,-0.0074125640,-0.0005600399
12:48:35:24.851,61,0.0000000000,0.0000000000,0.1230040342,0.0000000000,0.0165419020,0.2589271665,0.4899525940,0.0000000000,0.0000000000,0.0054849377,0.0000000000,0.0165434349,0.2589367628,0.4907990694,0.0283105485,0.0134926308,0.0000000000,0.0601379313,0.0625134781,0.0516080931,0.2460082173,0.0000000000,0.0046717050,0.0576640889,0.0703127459,0.0000000000,0.0000000000,0.0838948265,0.0905602202,0.1753544956,0.1800721139,0.2088945806,0.0446463041,0.3121577799,0.1816824228,0.0862607434,0.0928315520,0.1513295025,0.1499637365,0.0164732840,0.0190418735,0.7594131231,0.7592574954,0.1500861943,0.0000000000,0.0000000000,0.0935548395,0.0894870311,0.1169979274,0.1149655655,0.1190101504,0.0000012280,0.1102895364,0.1387072206,-0.0404174477,-0.0033504709,-0.0072184755,0.0000241857,0.0751369372,-0.0072381874,-0.0005433531
12:48:35:25.851,61,0.0000000000,0.0000000000,0.1227561235,0.0000000000,0.0158075839,0.2585487664,0.4904392958,0.0000000000,0.0000000000,0.0058149430,0.0000000000,0.0158069413,0.2585582733,0.4912948012,0.0284472201,0.0136052109,0.0000000000,0.0600464977,0.0623248182,0.0514428429,0.2460309267,0.0000000000,0.0045269108,0.0577555783,0.0702549443,0.0000000000,0.0000000000,0.0843196809,0.0910132900,0.1752557904,0.1799684763,0.2111720443,0.0449381433,0.3121402264,0.1816430539,0.0867538229,0.0933773965,0.1513139457,0.1499321759,0.0164071284,0.0189617928,0.7598826289,0.7597274184,0.1493548751,0.0000000000,0.0000000000,0.0941507518,0.0893963203,0.1168755516,0.1148431301,0.1188154072,0.0000010381,0.1098013222,0.1369373649,-0.0415037833,-0.0035520624,-0.0068971226,0.0000244993,0.0749856606,-0.0069167963,-0.0005181829
